RANDOM SEQUENCES
lengthS,lengthT,MinCost;
10000,7692,4964;
10000,7692,4948;
10000,2439,7561;
10000,1010,8990;
10000,1470,8530;
10000,1351,8649;
10000,1020,8980;
10000,2272,7728;
10000,1030,8970;
10000,1265,8735;
10000,1219,8781;
10000,5263,5597;
10000,1176,8824;
10000,3448,6671;
10000,2631,7374;
10000,11111,5532;
10000,1351,8649;
10000,1470,8530;
10000,1030,8970;
10000,1492,8508;
10000,2173,7827;
10000,5555,5483;
10000,1538,8462;
10000,1785,8215;
10000,33333,23463;
10000,3703,6493;
10000,4347,6089;
10000,1388,8612;
10000,1639,8361;
10000,10000,5172;
10000,1176,8824;
10000,1149,8851;
10000,3030,7020;
10000,8333,4944;
10000,1724,8276;
10000,16666,8857;
10000,2500,7502;
10000,1052,8948;
10000,2083,7917;
10000,1204,8796;
10000,33333,23461;
10000,1851,8149;
10000,6666,5129;
10000,1075,8925;
10000,1388,8612;
10000,1041,8959;
10000,1030,8970;
10000,1587,8413;
10000,1098,8902;
10000,4166,6188;
10000,1234,8766;
10000,2000,8000;
10000,1265,8735;
10000,1176,8824;
10000,2040,7960;
10000,1041,8959;
10000,1086,8914;
10000,25000,15724;
10000,1666,8334;
10000,1818,8182;
10000,2272,7728;
10000,1086,8914;
10000,1149,8851;
10000,1176,8824;
10000,1492,8508;
10000,2222,7778;
10000,7692,4940;
10000,5263,5595;
10000,1098,8902;
10000,3846,6406;
10000,2272,7728;
10000,5882,5357;
10000,1818,8182;
10000,1408,8592;
10000,20000,11451;
10000,1162,8838;
10000,12500,6177;
10000,1052,8948;
10000,2564,7439;
10000,2325,7675;
10000,10000,5168;
10000,3225,6861;
10000,3125,6941;
10000,1333,8667;
10000,1666,8334;
10000,1282,8718;
10000,1265,8735;
10000,1538,8462;
10000,1075,8925;
10000,5555,5464;
10000,1538,8462;
10000,1960,8040;
10000,1639,8361;
10000,7692,4946;
10000,8333,4932;
10000,1098,8902;
10000,2439,7561;
10000,2272,7728;
10000,1428,8572;
10000,3448,6677;
10000,1818,8182;
10000,1098,8902;
10000,3125,6937;
10000,1754,8246;
10000,1785,8215;
10000,20000,11469;
10000,1265,8735;
10000,1886,8114;
10000,1063,8937;
10000,3125,6937;
10000,1086,8914;
10000,16666,8865;
10000,1315,8685;
10000,1449,8551;
10000,4000,6297;
10000,25000,15727;
10000,2222,7778;
10000,1369,8631;
10000,7142,5042;
10000,1123,8877;
10000,14285,7223;
10000,2325,7675;
10000,5263,5605;
10000,2040,7960;
10000,3225,6855;
10000,2857,7169;
10000,4347,6087;
10000,1818,8182;
10000,5263,5599;
10000,1315,8685;
10000,4347,6082;
10000,1587,8413;
10000,4761,5854;
10000,1886,8114;
10000,1639,8361;
10000,2173,7827;
10000,2631,7375;
10000,2127,7873;
10000,1041,8959;
10000,1020,8980;
10000,1219,8781;
10000,2702,7305;
10000,1265,8735;
10000,1190,8810;
10000,2439,7561;
10000,1010,8990;
10000,2941,7090;
10000,1063,8937;
10000,1098,8902;
10000,4166,6195;
10000,6666,5125;
10000,1282,8718;
10000,3225,6856;
10000,1098,8902;
10000,2000,8000;
10000,2325,7675;
10000,1136,8864;
10000,1234,8766;
10000,1176,8824;
10000,1162,8838;
10000,3448,6684;
10000,1886,8114;
10000,1265,8735;
10000,1282,8718;
10000,1449,8551;
10000,1515,8485;
10000,1041,8959;
10000,33333,23473;
10000,2564,7437;
10000,1538,8462;
10000,2439,7561;
10000,12500,6186;
10000,4761,5855;
10000,4166,6177;
10000,8333,4933;
10000,1176,8824;
10000,1041,8959;
10000,1149,8851;
10000,1041,8959;
10000,1041,8959;
10000,1123,8877;
10000,1063,8937;
10000,1063,8937;
10000,1851,8149;
10000,16666,8886;
10000,1075,8925;
10000,1282,8718;
10000,1351,8649;
10000,2702,7308;
10000,9090,5013;
10000,2702,7304;
10000,2564,7440;
10000,1851,8149;
10000,5555,5487;
10000,11111,5517;
10000,10000,5173;
10000,2777,7240;
10000,2941,7086;
10000,1162,8838;
10000,2439,7561;
10000,5882,5359;
10000,1785,8215;
10000,1639,8361;
10000,4000,6291;
10000,3125,6933;
10000,3571,6594;
10000,1886,8114;
10000,1408,8592;
10000,1449,8551;
10000,4166,6182;
10000,1562,8438;
10000,3225,6855;
10000,1562,8438;
10000,1694,8306;
10000,1754,8246;
10000,1639,8361;
10000,1234,8766;
10000,5263,5611;
10000,3225,6859;
10000,7142,5038;
10000,4761,5839;
10000,1234,8766;
10000,1428,8572;
10000,3225,6857;
10000,3448,6684;
10000,1190,8810;
10000,1886,8114;
10000,1694,8306;
10000,9090,4977;
10000,1333,8667;
10000,9090,5019;
10000,4000,6292;
10000,5882,5372;
10000,50000,40000;
10000,2631,7377;
10000,1250,8750;
10000,1098,8902;
10000,2857,7164;
10000,1923,8077;
10000,2439,7561;
10000,1449,8551;
10000,2777,7236;
10000,3846,6403;
10000,1176,8824;
10000,2083,7917;
10000,1923,8077;
10000,1754,8246;
10000,1123,8877;
10000,3125,6933;
task took 404.570000 seconds
