RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
112,4,1035,2325,1409;
89,3,1035,5000,3965;
17,0,1035,2500,1560;
142,5,1035,3125,2125;
62,2,1035,3125,2122;
113,4,1035,1123,571;
63,2,1035,14285,13250;
162,6,1035,1538,804;
114,4,1035,2439,1505;
143,5,1035,12500,11465;
190,7,1035,1470,743;
144,5,1035,1492,764;
191,7,1035,2325,1401;
145,5,1035,8333,7298;
18,0,1035,1408,713;
146,5,1035,1063,557;
19,0,1035,1388,690;
147,5,1035,1587,820;
20,0,1035,5555,4520;
192,7,1035,1333,657;
148,5,1035,1219,619;
193,7,1035,3030,2036;
21,0,1035,2564,1617;
194,7,1035,16666,15631;
64,2,1035,20000,18965;
39,1,1035,1886,1038;
65,2,1035,1075,564;
66,2,1035,2702,1741;
40,1,1035,1010,537;
41,1,1035,2127,1238;
42,1,1035,10000,8965;
22,0,1035,4761,3726;
67,2,1035,1219,612;
68,2,1035,2127,1241;
69,2,1035,4000,2966;
70,2,1035,1851,1019;
71,2,1035,20000,18965;
195,7,1035,1265,639;
72,2,1035,12500,11465;
23,0,1035,8333,7298;
196,7,1035,1333,670;
197,7,1035,8333,7298;
24,0,1035,1219,608;
1035,1515,779;
198,7,1035,1538,797;
199,7,1035,1612,849;
1035,50000,48965;
163,6,1035,1639,860;
164,6,1035,1219,606;
165,6,1035,3125,2128;
166,6,1035,2083,1209;
167,6,1035,1923,1072;
168,6,1035,50000,48965;
149,5,1035,1098,564;
1035,1694,902;
169,6,1035,1369,692;
170,6,1035,33333,32298;
73,2,1035,1785,971;
171,6,1035,1282,633;
172,6,1035,2564,1615;
74,2,1035,50000,48965;
43,1,1035,2272,1368;
1035,2127,1234;
173,6,1035,1369,684;
44,1,1035,5882,4847;
45,1,1035,10000,8965;
174,6,1035,1587,822;
1035,100000,98965;
90,3,1035,1666,890;
91,3,1035,1538,796;
92,3,1035,1754,944;
93,3,1035,100000,98965;
115,4,1035,25000,23965;
46,1,1035,1265,634;
116,4,1035,1470,741;
117,4,1035,3571,2550;
118,4,1035,1000,543;
119,4,1035,1851,1004;
120,4,1035,10000,8965;
47,1,1035,10000,8965;
121,4,1035,1030,543;
122,4,1035,3448,2432;
48,1,1035,2222,1316;
123,4,1035,2000,1147;
49,1,1035,4347,3312;
124,4,1035,1694,904;
1035,3125,2120;
1035,50000,48965;
94,3,1035,2631,1663;
95,3,1035,3703,2677;
96,3,1035,1612,841;
97,3,1035,3448,2433;
98,3,1035,1351,669;
99,3,1035,1204,611;
task took 29.860000 seconds
