RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
172,0,1030,1190,609;
173,0,2173,33333,31160;
354,1,5000,16666,11728;
355,1,2500,100000,97500;
356,1,1315,1639,827;
357,1,1030,1388,701;
358,1,7142,1492,5650;
359,1,1204,1666,845;
360,1,2380,1030,1453;
361,1,20000,20000,10368;
174,0,4166,10000,6191;
362,1,3571,5263,2696;
363,1,1219,1282,668;
364,1,1639,1612,837;
365,1,5555,2380,3394;
366,1,1075,5000,3925;
367,1,1123,1041,572;
368,1,2857,2083,1432;
369,1,3125,2040,1611;
370,1,5555,1098,4457;
371,1,8333,11111,5548;
175,0,5555,2173,3527;
372,1,4761,1041,3720;
176,0,2040,1265,1074;
177,0,1449,50000,48551;
373,1,1176,1075,583;
374,1,2040,5555,3626;
375,1,2702,1315,1567;
376,1,1612,2272,1145;
377,1,1041,2272,1357;
378,1,6666,20000,13528;
178,0,6250,1136,5114;
179,0,5000,1020,3980;
180,0,4347,1694,2769;
181,0,1020,6250,5230;
182,0,2439,1010,1523;
183,0,2500,1030,1543;
184,0,1587,2857,1568;
185,0,2857,2941,1524;
186,0,4545,4545,2367;
187,0,1265,4761,3502;
188,0,1666,1123,867;
189,0,1190,5000,3810;
190,0,1333,4347,3036;
191,0,3030,1020,2055;
192,0,1538,2040,1024;
193,0,2127,2857,1425;
194,0,1587,2325,1202;
195,0,5263,33333,28070;
379,1,1123,1515,766;
380,1,1470,11111,9641;
196,0,1408,1754,870;
197,0,4000,3703,2009;
381,1,2857,3703,1849;
382,1,14285,1886,12399;
198,0,1298,2702,1590;
199,0,1020,9090,8070;
383,1,2857,1098,1830;
3846,4166,2098;
384,1,25000,3703,21297;
385,1,1333,1063,658;
386,1,1408,50000,48592;
387,1,1176,1250,633;
388,1,9090,1960,7130;
389,1,10000,4166,6179;
390,1,1388,1315,722;
391,1,1298,3333,2128;
392,1,1538,2857,1586;
393,1,2777,33333,30556;
394,1,1176,1818,951;
395,1,1562,6666,5104;
396,1,4545,1098,3447;
397,1,2083,3125,1606;
398,1,1219,1408,709;
399,1,1612,5263,3682;
task took 187.710000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
0,0,200,1,1035,3703,2678;
1,0,1035,1075,550;
2,0,1035,1369,684;
3,0,1035,16666,15631;
201,1,1035,4347,3312;
4,0,1035,2127,1240;
202,1,1035,2439,1495;
5,0,1035,3703,2676;
203,1,1035,1449,734;
204,1,1035,2500,1558;
6,0,1035,2439,1499;
7,0,1035,5882,4847;
205,1,1035,3225,2219;
8,0,1035,1369,678;
206,1,1035,1041,541;
207,1,1035,2272,1347;
9,0,1035,1538,792;
208,1,1035,1754,944;
10,0,1035,1136,578;
209,1,1035,2173,1284;
210,1,1035,1666,887;
211,1,1035,1000,541;
212,1,1035,1818,982;
213,1,1035,1538,796;
214,1,1035,7142,6107;
215,1,1035,3125,2129;
216,1,1035,8333,7298;
217,1,1035,2173,1271;
218,1,1035,50000,48965;
11,0,1035,1492,762;
12,0,1035,1470,749;
13,0,1035,1190,599;
14,0,1035,5882,4847;
15,0,1035,50000,48965;
16,0,1035,7142,6107;
17,0,1035,3030,2043;
18,0,1035,2631,1672;
19,0,1035,4761,3726;
20,0,1035,100000,98965;
219,1,1035,2127,1231;
220,1,1035,4000,2969;
21,0,1035,1587,825;
221,1,1035,1315,667;
22,0,1035,1818,985;
222,1,1035,1250,638;
23,0,1035,1369,680;
223,1,1035,1666,890;
224,1,1035,1111,566;
225,1,1035,3030,2039;
226,1,1035,4545,3510;
227,1,1035,3846,2815;
228,1,1035,1176,599;
229,1,1035,2083,1204;
230,1,1035,1098,561;
231,1,1035,1538,792;
232,1,1035,14285,13250;
24,0,1035,3846,2817;
233,1,1035,1219,620;
234,1,1035,1333,666;
235,1,1035,1315,670;
236,1,1035,1449,734;
237,1,1035,2380,1449;
238,1,1035,1851,1020;
239,1,1035,1010,544;
240,1,1035,3448,2431;
241,1,1035,16666,15631;
25,0,1035,1136,571;
242,1,1035,1063,556;
26,0,1035,2272,1349;
243,1,1035,2173,1289;
244,1,1035,2439,1504;
245,1,1035,1282,628;
246,1,1035,1041,546;
247,1,1035,3448,2432;
248,1,1035,6666,5631;
249,1,1035,20000,18965;
27,0,1035,2777,1801;
250,1,1035,2040,1172;
28,0,1035,1851,1027;
251,1,1035,1162,593;
252,1,1035,1234,625;
253,1,1035,5000,3965;
29,0,1035,2777,1806;
254,1,1035,2500,1555;
30,0,1035,1851,1020;
255,1,1035,1010,538;
256,1,1035,3333,2319;
31,0,1035,1538,802;
257,1,1035,1030,535;
32,0,1035,7142,6107;
33,0,1035,1298,661;
34,0,1035,1204,606;
35,0,1035,3571,2546;
36,0,1035,1492,759;
37,0,1035,3030,2033;
38,0,1035,20000,18965;
258,1,1035,2325,1407;
39,0,1035,1219,620;
259,1,1035,1851,1018;
40,0,1035,1162,594;
41,0,1035,1234,628;
42,0,1035,1234,617;
43,0,1035,1098,566;
44,0,1035,7692,6657;
260,1,1035,1818,1002;
45,0,1035,2040,1172;
46,0,1035,1000,537;
47,0,1035,2083,1187;
48,0,1035,1562,818;
49,0,1035,2173,1275;
50,0,1035,5555,4520;
51,0,1035,2941,1955;
52,0,1035,1587,824;
53,0,1035,1754,940;
54,0,1035,5882,4847;
55,0,1035,4000,2968;
56,0,1035,1851,1019;
57,0,1035,33333,32298;
261,1,1035,1492,763;
58,0,1035,2564,1613;
59,0,1035,4545,3510;
262,1,1035,1612,848;
60,0,1035,1086,563;
263,1,1035,2500,1555;
264,1,1035,1351,677;
265,1,1035,3125,2126;
266,1,1035,8333,7298;
61,0,1035,2631,1674;
267,1,1035,2439,1502;
62,0,1035,1333,672;
63,0,1035,2083,1206;
268,1,1035,1851,1018;
64,0,1035,1063,560;
65,0,1035,4347,3312;
269,1,1035,1315,652;
270,1,1035,4000,2966;
66,0,1035,2083,1197;
271,1,1035,1219,608;
272,1,1035,5555,4520;
67,0,1035,9090,8055;
68,0,1035,1538,790;
69,0,1035,1265,626;
70,0,1035,1265,638;
71,0,1035,2500,1555;
72,0,1035,1351,665;
73,0,1035,1369,690;
74,0,1035,1063,558;
75,0,1035,4347,3312;
76,0,1035,1030,545;
77,0,1035,1449,738;
78,0,1035,2325,1397;
79,0,1035,2564,1612;
80,0,1035,2222,1320;
81,0,1035,1369,686;
82,0,1035,2439,1508;
83,0,1035,1538,803;
84,0,1035,50000,48965;
273,1,1035,1449,736;
274,1,1035,9090,8055;
85,0,1035,1162,574;
86,0,1035,9090,8055;
87,0,1035,1250,625;
88,0,1035,2857,1881;
89,0,1035,1666,876;
90,0,1035,25000,23965;
275,1,1035,1250,625;
276,1,1035,6250,5215;
91,0,1035,1428,722;
277,1,1035,1785,973;
92,0,1035,2777,1806;
93,0,1035,5000,3965;
278,1,1035,1010,530;
279,1,1035,3125,2120;
94,0,1035,2325,1409;
280,1,1035,1351,673;
95,0,1035,1315,653;
281,1,1035,1030,540;
282,1,1035,4166,3133;
96,0,1035,2272,1358;
283,1,1035,1190,606;
97,0,1035,3125,2118;
98,0,1035,6250,5215;
99,0,1035,1694,911;
100,0,1035,1265,647;
101,0,1035,1149,587;
102,0,1035,1298,650;
103,0,1035,20000,18965;
284,1,1035,4545,3510;
104,0,1035,1886,1056;
285,1,1035,1492,767;
286,1,1035,4000,2967;
105,0,1035,1428,722;
287,1,1035,1204,608;
106,0,1035,1315,657;
288,1,1035,1639,860;
289,1,1035,2702,1741;
107,0,1035,1136,585;
108,0,1035,4347,3312;
109,0,1035,6250,5215;
290,1,1035,1234,600;
110,0,1035,2083,1204;
111,0,1035,1063,556;
112,0,1035,9090,8055;
291,1,1035,2500,1554;
292,1,1035,11111,10076;
113,0,1035,16666,15631;
293,1,1035,14285,13250;
114,0,1035,1785,966;
115,0,1035,1149,574;
116,0,1035,3571,2552;
117,0,1035,4000,2966;
118,0,1035,1123,575;
119,0,1035,1041,543;
120,0,1035,2631,1678;
121,0,1035,16666,15631;
294,1,1035,1612,837;
295,1,1035,1851,1017;
122,0,1035,1449,718;
296,1,1035,4000,2966;
297,1,1035,3846,2817;
123,0,1035,5000,3965;
298,1,1035,1250,609;
299,1,1035,4545,3510;
124,0,1035,1562,810;
125,0,1035,1515,783;
126,0,1035,1265,636;
127,0,1035,1136,578;
128,0,1035,1754,939;
129,0,1035,20000,18965;
300,1,1035,3030,2037;
301,1,1035,1030,534;
302,1,1035,4545,3510;
303,1,1035,1111,559;
304,1,1035,1515,783;
305,1,1035,2564,1618;
306,1,1035,50000,48965;
130,0,1035,1754,946;
131,0,1035,5263,4228;
132,0,1035,1428,719;
133,0,1035,16666,15631;
134,0,1035,1030,529;
135,0,1035,2941,1959;
136,0,1035,4545,3510;
137,0,1035,2857,1876;
138,0,1035,3225,2218;
139,0,1035,2380,1452;
140,0,1035,2173,1290;
141,0,1035,16666,15631;
142,0,1035,2222,1315;
143,0,1035,2380,1452;
144,0,1035,100000,98965;
307,1,1035,9090,8055;
145,0,1035,1052,545;
308,1,1035,2702,1732;
146,0,1035,1818,995;
147,0,1035,1000,532;
148,0,1035,33333,32298;
149,0,1035,2325,1413;
150,0,1035,1388,691;
151,0,1035,1123,573;
152,0,1035,4545,3510;
153,0,1035,1063,565;
154,0,1035,1369,687;
155,0,1035,1086,556;
156,0,1035,3030,2035;
157,0,1035,1234,621;
158,0,1035,1030,537;
159,0,1035,1098,558;
160,0,1035,1369,685;
161,0,1035,1063,553;
162,0,1035,1666,887;
163,0,1035,1111,573;
164,0,1035,1785,958;
165,0,1035,2380,1462;
166,0,1035,14285,13250;
167,0,1035,3448,2430;
168,0,1035,1851,1022;
169,0,1035,100000,98965;
309,1,1035,1098,556;
310,1,1035,2222,1323;
311,1,1035,1219,609;
312,1,1035,1086,562;
313,1,1035,2173,1282;
314,1,1035,11111,10076;
170,0,1035,1960,1094;
171,0,1035,3333,2323;
315,1,1035,1724,915;
172,0,1035,1369,696;
173,0,1035,4000,2967;
316,1,1035,1923,1076;
174,0,1035,4761,3726;
317,1,1035,5263,4228;
175,0,1035,1098,556;
318,1,1035,1020,535;
176,0,1035,1538,798;
177,0,1035,4347,3312;
319,1,1035,7142,6107;
178,0,1035,5882,4847;
320,1,1035,1234,621;
179,0,1035,1041,549;
321,1,1035,3125,2125;
180,0,1035,5000,3965;
322,1,1035,2500,1564;
181,0,1035,4000,2966;
323,1,1035,6250,5215;
182,0,1035,3225,2215;
324,1,1035,1000,534;
325,1,1035,2564,1625;
183,0,1035,2631,1680;
184,0,1035,4166,3132;
326,1,1035,1250,624;
327,1,1035,5000,3965;
328,1,1035,2380,1456;
329,1,1035,11111,10076;
185,0,1035,2272,1361;
330,1,1035,2500,1560;
186,0,1035,3030,2032;
187,0,1035,12500,11465;
331,1,1035,2564,1611;
332,1,1035,1000,534;
333,1,1035,11111,10076;
188,0,1035,1136,569;
189,0,1035,1282,639;
334,1,1035,2173,1278;
190,0,1035,1515,780;
191,0,1035,1515,776;
192,0,1035,1010,533;
193,0,1035,1136,578;
194,0,1035,1960,1106;
195,0,1035,10000,8965;
335,1,1035,2702,1739;
336,1,1035,1388,698;
337,1,1035,1388,705;
338,1,1035,2439,1502;
339,1,1035,8333,7298;
196,0,1035,6666,5631;
340,1,1035,1219,619;
341,1,1035,4166,3131;
197,0,1035,1408,704;
342,1,1035,1492,769;
198,0,1035,1111,559;
199,0,1035,6666,5631;
1035,33333,32298;
343,1,1035,3333,2318;
344,1,1035,11111,10076;
345,1,1035,5882,4847;
346,1,1035,1204,612;
347,1,1035,11111,10076;
348,1,1035,2173,1273;
349,1,1035,1428,722;
350,1,1035,1538,800;
351,1,1035,2083,1200;
352,1,1035,25000,23965;
353,1,1035,2941,1957;
354,1,1035,2222,1324;
