RANDOM SEQUENCES
n,lengthS,lengthT,MinCost
484,2040,4761,2916;
485,2083,7692,5616;
486,1538,3030,1734;
487,1428,1923,971;
488,1754,3703,2177;
489,2127,1428,1095;
490,2000,1030,1133;
491,1851,2702,1378;
492,2500,1123,1498;
493,5263,6666,3308;
494,5555,2941,3119;
495,12500,1041,11459;
496,1265,1369,698;
497,6250,33333,27083;
498,3030,1388,1809;
499,1282,3703,2475;
500,1470,3030,1772;
501,7692,1000,6692;
502,8333,4000,4870;
503,3846,1449,2485;
504,1020,2222,1325;
505,3846,1041,2810;
506,5555,2380,3397;
507,3030,1010,2060;
508,1333,3571,2322;
509,3225,5000,2602;
510,100000,1020,98980;
511,5555,1351,4205;
512,3846,1162,2704;
513,1515,2040,1031;
514,3448,2173,1807;
515,1886,1351,953;
516,14285,2325,11960;
517,1724,7142,5418;
518,1020,10000,8980;
519,1515,1694,854;
520,1041,2500,1550;
521,1176,100000,98824;
522,2325,4166,2291;
523,6250,1282,4968;
524,1282,2083,1103;
525,1010,3333,2342;
526,100000,2500,97500;
527,3448,10000,6683;
528,1960,2380,1180;
529,2702,1190,1648;
530,1333,1612,805;
531,1315,1408,728;
532,3571,1010,2569;
533,2500,2272,1254;
534,1219,1886,978;
535,5263,5263,2726;
536,1123,1351,674;
537,50000,1351,48649;
538,10000,1041,8959;
539,1149,1020,593;
540,8333,1369,6964;
541,4545,1250,3301;
542,1149,1052,586;
543,2702,1408,1521;
544,2083,1818,1038;
545,3125,3448,1743;
546,1515,4761,3280;
547,2325,1052,1401;
548,4166,1754,2569;
549,2702,3333,1659;
550,1428,1000,737;
551,1587,20000,18413;
552,1282,2564,1485;
553,1041,1111,562;
554,1149,3333,2228;
555,1785,1587,899;
556,1063,1136,577;
557,5000,1204,3796;
558,4000,3571,2001;
559,1282,6666,5384;
560,1000,5263,4263;
561,14285,5882,8910;
562,3846,1960,2189;
563,20000,100000,80000;
564,1612,2000,982;
565,1041,1960,1108;
566,1470,3846,2471;
567,3846,5882,3039;
568,2040,4000,2280;
569,3571,2941,1779;
570,1449,1562,795;
571,1587,1449,809;
572,6666,2040,4659;
573,1470,1639,829;
574,1754,2040,1012;
575,9090,4000,5512;
576,2941,1388,1731;
577,2857,3225,1598;
578,1538,20000,18462;
579,1204,2040,1103;
580,1388,1562,774;
581,8333,1282,7051;
582,3571,2127,1905;
583,1000,1639,862;
584,1886,2941,1524;
585,1666,3448,2022;
586,3846,1351,2558;
587,1369,2173,1150;
588,1388,1612,804;
589,25000,3571,21429;
590,1449,3333,2030;
591,2380,1149,1394;
592,1282,1785,910;
593,1190,2439,1422;
594,1515,1098,780;
595,12500,1190,11310;
596,1492,2173,1124;
597,11111,3703,7526;
598,1886,1428,942;
599,1265,16666,15401;
task took 333.470000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,lengthS,lengthT,MinCost;
0,1035,100000,98965;
1,1035,2127,1246;
2,1035,1923,1076;
3,1035,1515,779;
4,1035,1470,746;
5,1035,1190,591;
6,1035,11111,10076;
7,1035,1063,551;
8,1035,4000,2968;
9,1035,1020,535;
10,1035,1315,655;
11,1035,2439,1506;
12,1035,1010,539;
13,1035,1612,837;
14,1035,1886,1048;
15,1035,4761,3726;
16,1035,2439,1503;
17,1035,3448,2434;
18,1035,1315,657;
19,1035,1000,519;
20,1035,1176,599;
21,1035,3125,2127;
22,1035,1250,627;
23,1035,1333,667;
24,1035,2325,1410;
25,1035,4166,3133;
26,1035,1162,596;
27,1035,1250,628;
28,1035,4761,3726;
29,1035,3125,2120;
30,1035,33333,32298;
31,1035,3846,2818;
32,1035,1666,887;
33,1035,1020,533;
34,1035,9090,8055;
35,1035,2222,1314;
36,1035,6250,5215;
37,1035,1428,720;
38,1035,7692,6657;
39,1035,1315,661;
40,1035,1250,621;
41,1035,1041,547;
42,1035,1785,986;
43,1035,3703,2675;
44,1035,1492,763;
45,1035,1724,921;
46,1035,1190,602;
47,1035,12500,11465;
48,1035,4000,2968;
49,1035,1265,632;
50,1035,12500,11465;
51,1035,1000,532;
52,1035,9090,8055;
53,1035,1282,634;
54,1035,3571,2547;
55,1035,1449,747;
56,1035,1111,560;
57,1035,1250,625;
58,1035,1086,562;
59,1035,4545,3510;
60,1035,1063,549;
61,1035,14285,13250;
62,1035,2272,1361;
63,1035,14285,13250;
64,1035,1470,745;
65,1035,2439,1497;
66,1035,5263,4228;
